ticker,year,sales,operating_profit,pat,equity,debt,assets,cfo,capex,eps
COMP001,2014,3576.1178714509606,773.7033060722877,516.4950478774639,1340.6318826626566,1747.1068907925237,3192.4775475641977,667.6922850645356,449.33324361721685,21.486563106169385
COMP001,2015,3437.015391769572,487.24450631494057,329.6018457123323,1891.289962354057,1009.0965179159066,3498.534097137007,460.5527150661413,430.03740776996057,11.49825613857887
COMP001,2016,4218.812942427072,558.1333626527277,361.70592194999006,2527.650496237517,87.88401592276674,2747.6467630565203,401.10773882279125,362.5847098903897,9.641626066603724
COMP001,2017,4214.205839578,746.4102222372657,559.1075567431171,1140.5567037038572,23.58805108501172,1437.3066843756487,679.4382783708953,227.87393850949286,26.515469431502567
COMP001,2018,3939.026382659637,884.3396242493358,571.5825908657074,1216.8773573423846,1760.6643079616572,3536.353394185623,747.7958722947614,420.5543272430159,17.721772083854884
COMP001,2019,4259.16447516063,771.6395285099745,580.5288558087619,3511.0896314329466,722.5281180283151,4871.983409947754,485.0614575283847,325.8934458628205,29.481803413488265
COMP001,2020,4560.112160807416,1014.4002132641167,724.1132111613368,3919.241960762642,1179.9833860212204,5743.775975230729,856.479620623825,506.966042783243,49.857555164593506
COMP001,2021,5106.476143812588,694.1467627812124,500.30592486487535,567.4755569406334,1935.6561020976428,2796.6352926585682,601.8975944752457,337.28484181779044,13.812092989914055
COMP001,2022,5609.47371421645,671.6916902944218,573.3038338804448,3790.803050350922,1807.8335763918535,6211.383859816126,508.67871660468285,297.83848134302434,15.151868537288735
COMP001,2023,5757.872677145878,731.7270123559996,633.1027003965319,2637.9724798454267,1139.3885489476158,4216.020081309971,662.588299642764,338.209987615013,56.82271497636314
COMP001,2024,6411.972392626309,1091.058224873996,833.8855014241942,1424.2205771648555,1502.6498397098558,3049.5476005962955,853.3243427207966,215.71180174266988,60.92642192999866
COMP002,2014,5005.26334279658,822.0295995641466,622.3767210928885,3516.6749925461427,688.4213339920524,4836.358210598938,753.2069199992176,363.63064624317684,24.337302081531973
COMP002,2015,5518.337741023796,1304.4075523652064,841.7585643393911,3746.9936907682286,10.357731630864286,4535.031175637071,1082.7675920993538,256.11535949984403,37.30023835429745
